topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,0,1,1,1
additional licenses,0,1,1,1
autonomous database,0,1,1,1
gross margin,1,1,1,1
high end,1,1,1,1
high growth,1,1,1,1
higher tax,1,1,1,1
new licenses,0,1,1,1
new revenue,1,1,1,1
quarterly dividend,1,1,1,1
stable software,1,1,1,1
strong increase,0,1,1,1
total cloud,1,1,1,1
total revenue,1,1,1,1
total revenues,1,1,1,1
unlimited agreements,0,1,1,1
unlimited amount,0,1,1,1
unlimited license,0,1,1,1
upfront licenses,0,1,1,1
