topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",5
-1,Outlier,Negative (Low/Med arousal),2
-1,Outlier,Neutral,4
-1,Outlier,Positive (Low/Mid arousal),2
0,"artificial intelligence, sustained growth, digital advertising, bigger risks, competitive factors, single person, social advertising, prior calls, final point, much work","Excited (Positive, High arousal)",17
0,"artificial intelligence, sustained growth, digital advertising, bigger risks, competitive factors, single person, social advertising, prior calls, final point, much work",Negative (Low/Med arousal),9
0,"artificial intelligence, sustained growth, digital advertising, bigger risks, competitive factors, single person, social advertising, prior calls, final point, much work",Neutral,31
0,"artificial intelligence, sustained growth, digital advertising, bigger risks, competitive factors, single person, social advertising, prior calls, final point, much work",Positive (Low/Mid arousal),3
1,"fastest way, live event, new topics, unique differentiator, new show, new things, different way, important commentary, best place, new experiences",Negative (Low/Med arousal),17
1,"fastest way, live event, new topics, unique differentiator, new show, new things, different way, important commentary, best place, new experiences",Neutral,22
1,"fastest way, live event, new topics, unique differentiator, new show, new things, different way, important commentary, best place, new experiences",Positive (Low/Mid arousal),1
