topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",1
-1,Outlier,Negative (Low/Med arousal),5
-1,Outlier,Neutral,5
-1,Outlier,Positive (Low/Mid arousal),3
0,"clean energy, final decision, electric system, wholesale market, regulatory development, smart inverters, residential rooftop, residential battery, private rooftop, rapid growth","Excited (Positive, High arousal)",2
0,"clean energy, final decision, electric system, wholesale market, regulatory development, smart inverters, residential rooftop, residential battery, private rooftop, rapid growth",Negative (Low/Med arousal),12
0,"clean energy, final decision, electric system, wholesale market, regulatory development, smart inverters, residential rooftop, residential battery, private rooftop, rapid growth",Neutral,16
0,"clean energy, final decision, electric system, wholesale market, regulatory development, smart inverters, residential rooftop, residential battery, private rooftop, rapid growth",Positive (Low/Mid arousal),4
1,"continuous improvement, operational performance, vast majority, specific recommendations, upcoming proceeding, regulatory front, important actions, financial results, critical requirement, ","Excited (Positive, High arousal)",6
1,"continuous improvement, operational performance, vast majority, specific recommendations, upcoming proceeding, regulatory front, important actions, financial results, critical requirement, ",Negative (Low/Med arousal),4
1,"continuous improvement, operational performance, vast majority, specific recommendations, upcoming proceeding, regulatory front, important actions, financial results, critical requirement, ",Neutral,5
1,"continuous improvement, operational performance, vast majority, specific recommendations, upcoming proceeding, regulatory front, important actions, financial results, critical requirement, ",Positive (Low/Mid arousal),3
